Time - Plot 0,Amplitude - Plot 0
20:57.566976,-1.66553
20:57.576039,-1.38349
20:57.584540,-1.52354
20:57.592569,-1.79345
20:57.601799,-1.56626
20:57.610621,-1.40267
20:57.667454,-1.59495
20:57.676407,-1.64587
20:57.684825,-1.80885
20:57.693590,-2.55934
20:57.701528,-2.80219
20:57.710799,-2.65703
20:57.768398,-5.70601
20:57.777198,-6.92432
20:57.785439,-7.54069
20:57.794542,-8.11682
20:57.803256,-8.69869
20:57.811042,-8.89884
20:57.870642,-8.41802
20:57.879108,-7.90962
20:57.887706,-7.09796
20:57.896304,-6.6827
20:57.904372,-6.58953
20:57.913560,-6.11176
20:57.971471,-2.05471
20:57.980162,-1.77633
20:57.988608,-1.79707
20:57.997659,-1.21599
20:58.006031,-0.625015
20:58.015061,-0.333751
20:58.072937,-1.43374
20:58.081191,-2.24916
20:58.090018,-2.23626
20:58.099033,-2.73793
20:58.107150,-4.18267
20:58.116328,-4.14796
20:58.174002,-7.44072
20:58.182539,-8.15629
20:58.190666,-8.34712
20:58.199885,-8.84134
20:58.208559,-9.08632
20:58.217383,-9.16056
20:58.227680,-9.27378
20:58.284175,-8.36141
20:58.292546,-8.10257
20:58.300544,-8.29981
20:58.309258,-7.47474
20:58.317964,-7.58941
20:58.328208,-6.68501
20:58.386403,-4.07966
20:58.394929,-4.58551
20:58.403660,-4.17479
20:58.412396,-3.96483
20:58.421019,-2.36526
20:58.431283,-2.17536
20:58.486995,-2.02931
20:58.495661,-1.59974
20:58.504266,-1.32473
20:58.513244,-1.24547
20:58.521122,-0.836342
20:58.531437,-0.656053
20:58.588601,-1.18263
20:58.597124,-1.47659
20:58.605834,-1.86313
20:58.614246,-2.34327
20:58.622255,-3.09181
20:58.632601,-3.01565
20:58.690119,-6.9752
20:58.698353,-7.92982
20:58.706914,-8.04607
20:58.716253,-8.07249
20:58.724238,-8.31997
20:58.734861,-8.69536
20:58.790770,-9.42844
20:58.799963,-9.20331
20:58.808560,-8.6655
20:58.817569,-9.07498
20:58.825598,-8.91464
20:58.884580,-8.1894
20:58.892534,-2.29393
20:58.900651,-1.07907
20:58.909685,-1.54966
20:58.919050,-0.749129
20:58.926881,-0.900428
20:58.985248,-0.830739
20:58.993703,-2.34909
20:59.002343,-2.1644
20:59.010588,-2.21046
20:59.019856,-2.98857
20:59.027914,-3.4424
20:59.037562,-3.66643
20:59.094457,-4.42512
20:59.102402,-5.14359
20:59.111667,-5.79357
20:59.120363,-5.51062
20:59.128730,-5.29961
20:59.137887,-5.82517
20:59.195755,-8.88472
20:59.204406,-9.45813
20:59.213063,-9.72771
20:59.221498,-9.82897
20:59.230289,-9.81799
20:59.239330,-9.97787
20:59.296756,-9.33899
20:59.305929,-9.16549
20:59.314847,-9.27978
20:59.323368,-8.9824
20:59.332113,-7.81453
20:59.340117,-7.28034
20:59.398798,-4.80321
20:59.407728,-3.55795
20:59.415714,-3.11724
20:59.424680,-2.57884
20:59.433747,-2.24514
20:59.442523,-1.90152
20:59.500333,-0.501195
20:59.508635,-0.51858
20:59.516797,-0.600218
20:59.525908,-0.934263
20:59.534943,-1.14211
20:59.544127,-1.42926
20:59.600152,-4.73077
20:59.609361,-6.03882
20:59.617954,-6.1344
20:59.626098,-5.74438
20:59.635153,-6.00856
20:59.643143,-7.08376
20:59.701270,-9.61429
20:59.709943,-9.72373
20:59.718354,-9.92558
20:59.727416,-10.0632
20:59.736031,-10.1465
20:59.744872,-10.1335
20:59.802555,-8.919
20:59.810578,-9.12766
20:59.820160,-7.82804
20:59.829076,-7.37893
20:59.837648,-7.58743
20:59.846572,-7.29763
20:59.904099,-3.9042
20:59.912548,-2.72588
20:59.920815,-2.30297
20:59.929831,-2.12336
20:59.937697,-1.64514
20:59.946932,-1.29048
21:00.004211,-0.369596
21:00.012944,-0.580994
21:00.021702,-0.711651
21:00.029906,-0.986003
21:00.038741,-1.49466
21:00.047880,-1.85666
21:00.105859,-6.09666
21:00.114627,-6.7364
21:00.123132,-7.16247
21:00.132197,-7.46654
21:00.140721,-7.57835
21:00.149756,-8.03715
21:00.206603,-10.3793
21:00.215679,-10.4124
21:00.224485,-10.4728
21:00.232603,-10.4714
21:00.241392,-10.3349
21:00.250067,-10.1316
21:00.307299,-7.94197
21:00.316472,-7.81129
21:00.325119,-7.46239
21:00.334236,-6.54291
21:00.342505,-5.71267
21:00.352016,-5.12496
21:00.409232,-1.97756
21:00.417888,-1.75538
21:00.426012,-1.29605
21:00.435129,-0.898661
21:00.443461,-0.785535
21:00.452220,-0.745684
21:00.509428,-1.27419
21:00.517886,-1.87684
21:00.526870,-2.21664
21:00.535960,-2.01204
21:00.544003,-1.93813
21:00.553602,-2.68371
21:00.610087,-6.99634
21:00.618707,-6.82227
21:00.627700,-8.35583
21:00.635693,-8.17494
21:00.644725,-7.49813
21:00.652710,-9.26117
21:00.710987,-10.1323
21:00.719810,-10.1301
21:00.728824,-10.0706
21:00.737403,-10.0773
21:00.746126,-9.8057
21:00.754871,-9.43631
21:00.811810,-7.64794
21:00.820825,-7.61851
21:00.828850,-5.58617
21:00.837993,-6.29228
21:00.845656,-6.10678
21:00.855474,-4.53781
21:00.913167,-2.24127
21:00.920926,-1.71037
21:00.930750,-1.06371
21:00.938954,-1.40411
21:00.947968,-0.942043
21:00.956177,-0.905949
21:01.013450,-0.737173
21:01.022099,-0.872128
21:01.030642,-0.919374
21:01.039791,-0.842007
21:01.047779,-1.7526
21:01.057077,-2.04336
21:01.066096,-2.63601
21:01.122132,-4.75557
21:01.131367,-4.94784
21:01.140736,-6.14994
21:01.149030,-6.77099
21:01.157671,-6.66045
21:01.166877,-6.97457
21:01.224757,-8.91571
21:01.233710,-9.11951
21:01.242476,-9.83032
21:01.250572,-9.8578
21:01.259895,-9.90717
21:01.269725,-9.88746
21:01.326393,-9.9918
21:01.335442,-9.81859
21:01.343457,-9.75001
21:01.352858,-9.64889
21:01.361535,-9.42782
21:01.370803,-9.32542
21:01.427955,-7.49778
21:01.437006,-6.75875
21:01.445664,-6.18168
21:01.454302,-7.08309
21:01.461961,-5.97514
21:01.519754,-5.68422
21:01.529030,-2.82628
21:01.538105,-2.1229
21:01.546365,-2.68273
21:01.555398,-1.8696
21:01.564407,-1.14879
21:01.621600,-1.09345
21:01.629854,-0.276998
21:01.638681,-0.457125
21:01.647719,-0.56762
21:01.656768,-0.620036
21:01.665511,-0.792857
21:01.722826,-0.716174
21:01.731452,-2.05829
21:01.740645,-3.38674
21:01.749397,-3.78393
21:01.757739,-3.9809
21:01.766001,-5.06681
21:01.823950,-4.79811
21:01.832603,-7.59394
21:01.841602,-8.33043
21:01.850257,-8.55345
21:01.859284,-8.4985
21:01.867770,-8.66761
21:01.925568,-9.05859
21:01.934582,-9.81672
21:01.943369,-9.89954
21:01.952403,-9.91369
21:01.960483,-9.80621
21:01.969752,-9.63201
21:01.978869,-9.48036
21:02.036217,-7.35892
21:02.045348,-7.21582
21:02.053622,-7.23473
21:02.062443,-6.8215
21:02.070596,-5.71127
21:02.128774,-5.11827
21:02.137246,-2.91787
21:02.145782,-2.41241
21:02.154808,-1.75807
21:02.163706,-1.63297
21:02.172425,-1.89073
21:02.180852,-1.53404
21:02.237501,-0.414656
21:02.246186,-0.446417
21:02.255236,-0.565727
21:02.263399,-0.806747
21:02.272385,-0.892745
21:02.280765,-1.06509
21:02.291031,-1.4292
21:02.347560,-4.76376
21:02.355850,-4.78927
21:02.365360,-4.43421
21:02.374078,-4.62788
21:02.382573,-5.53762
21:02.391641,-6.42775
21:02.449271,-8.5107
21:02.457731,-8.91872
21:02.465728,-7.82905
21:02.475394,-9.05758
21:02.483956,-9.35792
21:02.493520,-9.44625
21:02.550018,-9.54416
21:02.558901,-9.52439
21:02.566847,-9.14948
21:02.575944,-8.60567
21:02.585124,-9.46539
21:02.594330,-9.1886
21:02.650978,-6.25514
21:02.659920,-6.73667
21:02.667717,-5.96655
21:02.676755,-6.03738
21:02.685953,-5.95186
21:02.695370,-4.64115
21:02.752107,-1.9589
21:02.761290,-1.71441
21:02.770291,-1.91995
21:02.778574,-1.83268
21:02.787532,-0.567306
21:02.796720,-0.542998
21:02.853891,-0.368835
21:02.862573,-0.482884
21:02.871578,-0.836435
21:02.880485,-1.65009
21:02.888501,-1.50078
21:02.898852,-1.4383
21:02.955265,-4.16907
21:02.963757,-5.49674
21:02.972418,-5.78788
21:02.981624,-6.71302
21:02.990254,-6.40268
21:03.000026,-6.95834
21:03.057263,-9.37668
21:03.065574,-9.67568
21:03.074916,-9.87711
21:03.082522,-9.83564
21:03.091538,-9.86776
21:03.101817,-9.93747
21:03.157875,-8.84204
21:03.166938,-9.03505
21:03.175126,-8.77899
21:03.184233,-8.61921
21:03.192464,-7.84805
21:03.202734,-7.38557
21:03.259146,-4.78084
21:03.267889,-4.08271
21:03.276888,-3.90182
21:03.285942,-3.95171
21:03.294018,-2.99931
21:03.303805,-2.95576
21:03.360830,-1.21656
21:03.369867,-1.22722
21:03.378929,-1.20582
21:03.387925,-0.98011
21:03.395981,-1.0018
21:03.453711,-1.01828
21:03.462127,-1.90985
21:03.470710,-2.39943
21:03.481861,-3.16672
21:03.490866,-2.79139
21:03.499693,-3.52126
21:03.508945,-3.82893
21:03.566073,-7.07754
21:03.575181,-7.63317
21:03.583869,-7.68707
21:03.591709,-8.14584
21:03.601233,-9.10346
21:03.610778,-9.06796
21:03.667016,-9.85023
21:03.676251,-9.84023
21:03.684263,-9.81938
21:03.692785,-9.52455
21:03.701768,-8.88243
21:03.711845,-9.26701
21:03.768583,-7.8946
21:03.777789,-6.07071
21:03.785785,-6.10441
21:03.794695,-4.52574
21:03.803825,-5.20473
21:03.813405,-3.95219
21:03.871186,-1.1919
21:03.880194,-1.26892
21:03.888324,-0.52398
21:03.897501,-0.504259
21:03.905583,-0.447228
21:03.915147,-0.337841
21:03.972446,-1.76901
21:03.980841,-1.90952
21:03.989474,-2.78197
21:03.997725,-2.26182
21:04.007037,-3.07922
21:04.064521,-4.03062
21:04.072647,-7.00136
21:04.080823,-7.44854
21:04.090001,-7.99861
21:04.099073,-7.9496
21:04.107765,-8.78644
21:04.165361,-8.55169
21:04.174183,-9.5759
21:04.182693,-9.57498
21:04.191332,-9.65486
21:04.200335,-9.6301
21:04.209090,-9.45375
21:04.217909,-9.50996
21:04.273807,-8.62401
21:04.282600,-8.24151
21:04.291642,-7.96426
21:04.300670,-7.013
21:04.308935,-6.40115
21:04.317926,-7.03237
21:04.375380,-5.23569
21:04.383905,-4.46386
21:04.392807,-4.07751
21:04.401596,-3.41844
21:04.410367,-3.48532
21:04.418999,-3.43886
21:04.476339,-1.39888
21:04.485070,-1.08107
21:04.493674,-0.99268
21:04.502618,-1.20441
21:04.511055,-1.13951
21:04.519206,-1.52984
21:04.576249,-4.56885
21:04.585031,-4.88422
21:04.594182,-5.3754
21:04.602590,-6.10542
21:04.611424,-6.01786
21:04.620630,-7.06729
21:04.677869,-9.20314
21:04.686073,-9.07585
21:04.695107,-9.4268
21:04.703131,-9.37702
21:04.712176,-9.52607
21:04.721304,-9.5391
21:04.778873,-8.3452
21:04.787465,-7.78403
21:04.796633,-7.39871
21:04.805814,-7.50599
21:04.814406,-6.81938
21:04.823719,-6.66117
21:04.880101,-3.20596
21:04.888845,-2.12346
21:04.897944,-2.19962
21:04.906569,-2.46191
21:04.915490,-1.57021
21:04.923452,-1.21299
21:04.981307,-0.575144
21:04.989697,-0.724905
21:04.998830,-0.713781
21:05.007728,-1.05874
