Time - Plot 0,Intensity,Temperature
42:22.364715,-3.92101,26.845
42:22.374730,-3.91694,26.8666
42:22.385123,-3.95105,26.8522
42:22.442593,-4.02844,26.8649
42:22.452180,-4.03584,26.8616
42:22.461380,-4.02545,26.864
42:22.470434,-4.01693,26.8648
42:22.479987,-4.02648,26.8645
42:22.536971,-4.02518,26.8807
42:22.548365,-4.0243,26.8641
42:22.557993,-4.02734,26.8891
42:22.567774,-4.00348,26.8727
42:22.576878,-4.02206,26.8727
42:22.586474,-4.01245,26.8797
42:22.645205,-3.83112,26.8805
42:22.654790,-3.90058,26.8861
42:22.664334,-3.95261,26.8842
42:22.673522,-3.94758,26.9005
42:22.682752,-3.9063,26.8799
42:22.739464,-3.97704,26.8857
42:22.751451,-3.97156,26.8983
42:22.760427,-3.90187,26.8946
42:22.770405,-3.95242,26.9015
42:22.779470,-3.93804,26.9004
42:22.789398,-3.88956,26.9063
42:22.845766,-3.79476,26.891
42:22.856831,-3.93379,26.9207
42:22.866072,-3.95715,26.8995
42:22.876013,-3.94198,26.9131
42:22.884744,-3.87048,26.915
42:22.941941,-3.99981,26.9163
42:22.953740,-4.02391,26.9205
42:22.962862,-4.06045,26.9222
42:22.972349,-4.0463,26.9291
42:22.981546,-4.01359,26.9171
42:22.990696,-4.02468,26.942
42:23.047933,-4.0554,26.9247
42:23.058566,-4.01376,26.9394
42:23.067791,-3.9857,26.9389
42:23.076944,-4.01327,26.9336
42:23.087181,-4.05743,26.9362
42:23.145098,-4.01315,26.936
42:23.155323,-3.99779,26.9471
42:23.164211,-4.00595,26.9401
42:23.174301,-3.99427,26.962
42:23.183907,-3.93999,26.9395
42:23.193119,-3.99024,26.9467
42:23.249976,-3.96783,26.9507
42:23.260919,-4.01968,26.9587
42:23.271248,-4.0149,26.9592
42:23.280376,-4.03425,26.959
42:23.289382,-4.03733,26.9708
42:23.346305,-4.04611,26.9531
42:23.357312,-4.07222,26.9837
42:23.367353,-4.07993,26.9651
42:23.376446,-4.07466,26.9685
42:23.385654,-4.07454,26.9735
42:23.395422,-4.11466,26.9754
42:23.452560,-4.09166,26.9766
42:23.463688,-4.08975,26.9795
42:23.472882,-4.08639,26.9862
42:23.481475,-4.04012,26.9723
42:23.491744,-4.07459,26.9999
42:23.547975,-4.02196,26.9879
42:23.560091,-3.99053,26.989
42:23.569108,-4.04864,26.9945
42:23.578850,-3.96931,26.9942
42:23.587981,-3.96246,27.0017
42:23.597769,-4.00573,26.9922
42:23.654873,-4.03764,27.0121
42:23.664706,-4.02879,26.9961
42:23.674246,-4.0242,27.0244
42:23.683736,-4.01188,27.008
42:23.692712,-3.99945,27.0067
42:23.750725,-4.01695,27.0093
42:23.763826,-4.00857,27.0182
42:23.772915,-4.02653,27.033
42:23.782688,-4.01021,27.0116
42:23.791386,-3.98338,27.0301
42:23.801731,-4.00724,27.0262
42:23.858794,-3.91922,27.0231
42:23.869374,-3.90038,27.0331
42:23.877997,-3.95192,27.0334
42:23.887956,-3.99851,27.0357
42:23.896693,-4.00832,27.0304
42:23.906884,-3.981,27.0479
42:23.963879,-3.82223,27.0274
42:23.974617,-3.86137,27.0561
42:23.984714,-3.98683,27.0484
42:23.993989,-4.01799,27.0412
42:24.003178,-4.01438,27.0481
42:24.059938,-3.69365,27.0472
42:24.070349,-3.80327,27.0569
42:24.079905,-3.85186,27.0553
42:24.089971,-3.79399,27.0654
42:24.099085,-3.68009,27.0467
42:24.108414,-3.69787,27.0714
42:24.165347,-3.53792,27.0629
42:24.176428,-3.63112,27.0616
42:24.185876,-3.83334,27.0712
42:24.194938,-3.75588,27.0677
42:24.204138,-3.61264,27.0721
42:24.213842,-3.11498,27.0689
42:24.271935,-3.69119,27.0805
42:24.280950,-3.62688,27.0719
42:24.290928,-3.24762,27.0957
42:24.300757,-2.90512,27.0814
42:24.309773,-2.85418,27.0782
42:24.366832,-3.29216,27.0846
42:24.377390,-2.86035,27.091
42:24.387503,-2.97367,27.0933
42:24.397000,-3.04706,27.0911
42:24.406004,-3.10899,27.1074
42:24.416243,-3.13286,27.0853
42:24.473367,-2.75278,27.1138
42:24.482687,-2.78797,27.0927
42:24.492676,-2.74136,27.1017
42:24.501540,-2.60437,27.1081
42:24.511566,-2.8113,27.1096
42:24.521890,-2.97749,27.1115
42:24.578535,-2.59804,27.1141
42:24.588951,-2.44251,27.1195
42:24.598051,-2.55077,27.1104
42:24.607970,-2.83666,27.1355
42:24.617459,-3.01748,27.1213
42:24.675088,-2.14636,27.1446
42:24.684078,-2.3435,27.1301
42:24.694201,-2.53139,27.1256
42:24.703245,-2.76418,27.1269
42:24.712178,-2.87144,27.1293
42:24.722391,-2.45355,27.143
42:24.780651,-2.44957,27.1331
42:24.789751,-2.50418,27.1526
42:24.799896,-2.51658,27.1352
42:24.809028,-2.46503,27.1368
42:24.818774,-2.07935,27.1456
42:24.876792,-2.19614,27.1478
42:24.885806,-2.13777,27.1514
42:24.895791,-2.09035,27.1514
42:24.905398,-2.1143,27.1575
42:24.914438,-2.00237,27.1422
42:24.925568,-1.9926,27.1685
42:24.982280,-2.48383,27.1513
42:24.991211,-2.60064,27.1786
42:25.001413,-2.58152,27.1672
42:25.010534,-2.3959,27.1638
42:25.019623,-2.27138,27.167
42:25.029840,-2.34186,27.1635
42:25.087969,-2.23734,27.175
42:25.096882,-1.95426,27.1704
42:25.106939,-1.92855,27.1887
42:25.117120,-1.9567,27.1777
42:25.126940,-1.76859,27.1741
42:25.184373,-1.43871,27.1853
42:25.193717,-1.93537,27.1815
42:25.203342,-2.30646,27.187
42:25.212607,-2.32148,27.1916
42:25.221555,-2.27904,27.1975
42:25.231262,-2.19132,27.1809
42:25.289646,-1.56487,27.2091
42:25.299017,-1.63031,27.1899
42:25.308862,-1.85866,27.2007
42:25.317959,-1.84876,27.2059
42:25.327979,-1.60483,27.204
42:25.385555,-1.17238,27.2129
42:25.394722,-1.09794,27.2106
42:25.404748,-1.12781,27.2168
42:25.414626,-1.10716,27.2055
42:25.424451,-1.25284,27.2313
42:25.434688,-1.24642,27.2179
42:25.492162,-0.730925,27.2264
42:25.501281,-0.865355,27.2257
42:25.511278,-1.36182,27.2268
42:25.520111,-1.5196,27.2281
42:25.529322,-1.30944,27.2272
42:25.587787,-1.55122,27.2356
42:25.596734,-1.64013,27.2321
