Time - Plot 0,Amplitude - Plot 0
1070345:30:50.519249,-11.6431
1070345:30:50.527971,-11.6436
1070345:30:50.536633,-11.6433
1070345:30:50.545264,-11.6431
1070345:30:50.554412,-11.6434
1070345:30:50.563127,-11.6437
1070345:30:50.620803,-4.36077
1070345:30:50.629502,-4.43287
1070345:30:50.637839,-3.56022
1070345:30:50.647455,-2.56961
1070345:30:50.655595,-1.78421
1070345:30:50.664752,-2.55341
1070345:30:50.723162,-11.1926
1070345:30:50.731731,-11.643
1070345:30:50.740366,-11.6431
1070345:30:50.748260,-11.6441
1070345:30:50.757262,-11.6439
1070345:30:50.766226,-11.6441
1070345:30:50.776188,-11.6442
1070345:30:50.832554,-11.6437
1070345:30:50.841183,-11.6439
1070345:30:50.849692,-11.644
1070345:30:50.857579,-11.6439
1070345:30:50.866567,-11.6439
1070345:30:50.876877,-11.6433
1070345:30:50.933227,-11.6437
1070345:30:50.941818,-11.6438
1070345:30:50.950644,-11.6437
1070345:30:50.959232,-11.6439
1070345:30:50.968010,-11.6436
1070345:30:50.977398,-11.6432
1070345:30:51.034558,-11.6437
1070345:30:51.043589,-9.90304
1070345:30:51.052333,-5.94038
1070345:30:51.060822,-4.11826
1070345:30:51.069513,-3.00187
1070345:30:51.078724,-4.20632
1070345:30:51.136046,-4.1502
1070345:30:51.144765,-6.54674
1070345:30:51.153621,-8.59722
1070345:30:51.162109,-8.70521
1070345:30:51.170694,-7.90635
1070345:30:51.181581,-10.9069
1070345:30:51.238061,-11.6435
1070345:30:51.247116,-11.6433
1070345:30:51.255115,-11.6438
1070345:30:51.264128,-11.6432
1070345:30:51.272067,-11.6434
1070345:30:51.282742,-11.6437
1070345:30:51.340028,-11.6436
1070345:30:51.348904,-11.6436
1070345:30:51.357605,-11.6438
1070345:30:51.366541,-11.6439
1070345:30:51.374835,-11.6436
1070345:30:51.385142,-11.6437
1070345:30:51.441459,-11.6444
1070345:30:51.450282,-11.6439
1070345:30:51.458241,-11.644
1070345:30:51.467692,-11.068
1070345:30:51.475827,-10.9985
1070345:30:51.486346,-8.73466
1070345:30:51.543042,-1.88419
1070345:30:51.551813,-2.12402
1070345:30:51.560342,-3.8816
1070345:30:51.569265,-6.53389
1070345:30:51.577373,-7.10899
1070345:30:51.635693,-6.72142
1070345:30:51.644700,-11.6431
1070345:30:51.652881,-11.6438
1070345:30:51.662043,-11.6432
1070345:30:51.671137,-11.6432
1070345:30:51.679707,-11.6432
1070345:30:51.736537,-11.6431
1070345:30:51.745689,-11.643
1070345:30:51.754515,-11.6431
1070345:30:51.762622,-11.6434
1070345:30:51.771856,-11.6434
1070345:30:51.780584,-11.6434
1070345:30:51.838471,-11.6434
1070345:30:51.846707,-11.6431
1070345:30:51.855733,-11.6432
1070345:30:51.864363,-11.6436
1070345:30:51.873080,-11.6434
1070345:30:51.881375,-11.6431
1070345:30:51.938139,-11.6436
1070345:30:51.947383,-7.83675
1070345:30:51.956378,-6.51032
